soc_code,weighted_beta
17-2141,0.4164485956412451
17-2151,0.44934158850342865
17-2161,0.367165818506625
17-2171,0.4453585843423662
17-2199,0.42060084665320724
17-3011,0.46744350008963576
17-3012,0.4889384456662885
17-3013,0.4905871791174773
17-3021,0.30036934759720174
17-3022,0.4999999999999999
17-3023,0.24320771810628075
17-3024,0.2424581714035563
17-3025,0.3452596398650919
17-3026,0.28650892547933793
17-3027,0.33407971154921906
17-3029,0.2579458693730921
17-3031,0.4579679170985618
19-1011,0.4918489001604674
19-1012,0.3407970932860632
19-1013,0.496859906101316
19-1021,0.4136400064545505
19-1022,0.3335731179485954
19-1023,0.40350553901817376
19-1029,0.434437076899736
19-1031,0.4085505197868898
19-1032,0.40381624816502854
19-1041,0.3854252338435823
19-1042,0.40348714413000547
19-2011,0.4509013491534129
19-2012,0.48744170459830805
19-2021,0.47901202682822325
19-2031,0.3537070597527413
19-2032,0.40834594583966416
19-2041,0.4668372929110394
19-2042,0.39950868859808536
19-2043,0.4694769538306791
19-2099,0.47101239910653225
19-3011,0.47353091866390595
19-3022,0.5
19-3032,0.45099234946838473
19-3033,0.29538505725605246
19-3034,0.437510802032762
19-3039,0.4255749441665728
19-3041,0.44595650451271285
19-3051,0.48312687354545364
19-3091,0.466008968074604
19-3092,0.4783925611573883
19-3093,0.49593271135064776
19-3094,0.4818176123628396
19-3099,0.4943701847714813
19-4012,0.272573421642648
19-4013,0.2107655067471768
19-4021,0.3767881473521561
19-4031,0.3230244989596061
19-4042,0.3436556692114166
19-4043,0.343485167658438
19-4051,0.16197621886068092
19-4061,0.4720033406363241
19-4071,0.24697285866343002
19-4092,0.3510781811324335
19-4099,0.4582641013992293
19-5011,0.3517585744139419
19-5012,0.2971109347007418
21-1011,0.16665628599110632
21-1012,0.29268409385610905
21-1013,0.0700489041674067
21-1014,0.20615590884419238
21-1015,0.31668033557799447
21-1021,0.24669819235712273
21-1022,0.3427012088793676
21-1023,0.230535300381673
21-1091,0.3651688967150651
21-1092,0.2667770317763969
21-1093,0.32503829403986895
21-1094,0.3539997348236211
21-2011,0.26055831654034245
21-2021,0.34995920442876094
23-1011,0.40673791691761346
23-1012,0.4890044972680501
23-1021,0.4452259695377541
23-1022,0.45993856370570785
23-1023,0.4633192870987328
23-2011,0.34348006209600485
23-2093,0.4716654799709203
25-1011,0.39340109298096215
25-1021,0.47583577475598465
25-1022,0.3544161523957894
25-1031,0.38228655985482113
25-1032,0.40183222348046627
25-1041,0.3715347416003322
25-1042,0.41274554687111487
25-1043,0.3804734036579614
25-1051,0.34905876376192346
25-1052,0.34615209943887293
25-1053,0.3559910170613448
25-1054,0.36277898751084253
25-1061,0.38099484270872885
25-1062,0.386674125167576
25-1063,0.3927656000601125
25-1064,0.37836856700019633
25-1065,0.3796390551221741
25-1066,0.37382628535793677
25-1067,0.34657117122153247
25-1071,0.4123459375261901
25-1072,0.31053786555526386
25-1081,0.38021898082558236
25-1082,0.39141185132861656
25-1111,0.37829491151675426
25-1112,0.37260300548913944
25-1113,0.37004688481920955
25-1121,0.3241805407476058
25-1122,0.3864065531023816
25-1123,0.4080911894162581
25-1124,0.3574974562497946
25-1125,0.3811874563948123
25-1126,0.3727000417748098
25-1192,0.4710359193388179
25-1193,0.4118197938997994
25-1194,0.39634609514939706
25-2011,0.11884832917496872
25-2012,0.1588289508179578
25-2021,0.2724561055821787
25-2022,0.34215573091025075
25-2023,0.19699026205046244
25-2031,0.32961460558768246
25-2032,0.23321845322643595
25-2051,0.07486712954930003
25-2056,0.2210918538768966
25-2057,0.25661735714574774
25-2058,0.24797002729582718
25-2059,0.147505065891329
25-3011,0.2739864307427704
25-3021,0.2575563817124336
25-3031,0.24983818660431956
25-3041,0.4627221743263687
25-4011,0.49332582547506415
25-4012,0.41692784206769945
25-4013,0.2805017382450014
25-4022,0.469903621504965
25-4031,0.38756993465975936
25-9021,0.35343979331723663
25-9031,0.3543580983883481
25-9042,0.1749579903861673
25-9043,0.1141408499492968
25-9044,0.3314803337773792
27-1011,0.4563371078261365
27-1012,0.1493428730462834
27-1013,0.4703490646732598
27-1014,0.5
27-1021,0.4942958676572644
27-1022,0.4341907684377109
27-1023,0.17822212831915057
27-1024,0.4553320636423113
27-1025,0.47609113690856736
27-1026,0.30730803417048025
27-1027,0.41787094266279945
27-2011,0.06128819146571969
27-2012,0.42327684822869116
27-2021,0.0
27-2022,0.2881051741389674
27-2023,0.1220857378451428
27-2031,0.012407419517203207
27-2032,0.18775634888311213
27-2041,0.4593352901365085
27-2042,0.2256437398125121
27-3011,0.44900105217455133
27-3023,0.5
27-3031,0.46926303172768197
27-3041,0.4889582754663968
27-3042,0.4910028549009608
27-3043,0.4963043445719458
27-3091,0.4114156806002471
27-3092,0.5
27-4011,0.3925296642400292
